label,message
ham,"Hey, are we still meeting today?"
spam,"Congratulations! You won a free prize. Claim it now!"
ham,"Can you send me the homework when you finish?"
spam,"URGENT! You have been selected for a cash reward. Click now!"
ham,"I'll call you when I get home."
spam,"You have won £1000! Reply WIN to receive your prize."
ham,"What time does the class start tomorrow?"
spam,"Exclusive offer! Get your free gift today!"
ham,"Don't forget to bring your notebook."
spam,"Congratulations! Claim your FREE reward immediately!"
ham,"Are you coming to the game tonight?"
spam,"You have been chosen for a special cash prize!"
ham,"I'll see you tomorrow morning."
spam,"URGENT: Your account has won a reward. Act now!"
ham,"Can you help me with this assignment?"
spam,"WINNER! You have received a free voucher!"
ham,"Thanks for your help yesterday."
spam,"Limited time offer! Claim your free bonus now!"
ham,"What are you doing this weekend?"
spam,"Congratulations! You are today's lucky winner!"
